filepath,xmin,xmax,ymin,ymax
Users\EAGLEEYE\ALPD\ALPD\images\N54.xml,148,257,61,118
Users\EAGLEEYE\ALPD\ALPD\images\N482.xml,211,406,161,202
Users\EAGLEEYE\ALPD\ALPD\images\N68.xml,189,245,142,171
Users\EAGLEEYE\ALPD\ALPD\images\N455.xml,132,235,169,193
Users\EAGLEEYE\ALPD\ALPD\images\N333.xml,117,270,157,191
Users\EAGLEEYE\ALPD\ALPD\images\N83.xml,251,326,295,341
Users\EAGLEEYE\ALPD\ALPD\images\N97.xml,98,297,102,191
Users\EAGLEEYE\ALPD\ALPD\images\N327.xml,138,262,126,155
Users\EAGLEEYE\ALPD\ALPD\images\N441.xml,142,441,55,167
Users\EAGLEEYE\ALPD\ALPD\images\N469.xml,142,298,281,327
Users\EAGLEEYE\ALPD\ALPD\images\N468.xml,163,373,253,327
Users\EAGLEEYE\ALPD\ALPD\images\N326.xml,141,252,198,230
Users\EAGLEEYE\ALPD\ALPD\images\N96.xml,133,261,126,160
Users\EAGLEEYE\ALPD\ALPD\images\N440.xml,788,1525,1675,1851
Users\EAGLEEYE\ALPD\ALPD\images\N454.xml,151,280,193,224
Users\EAGLEEYE\ALPD\ALPD\images\N82.xml,190,257,59,77
Users\EAGLEEYE\ALPD\ALPD\images\N332.xml,143,260,126,159
Users\EAGLEEYE\ALPD\ALPD\images\N69.xml,77,124,150,175
Users\EAGLEEYE\ALPD\ALPD\images\N55.xml,143,210,171,208
Users\EAGLEEYE\ALPD\ALPD\images\N483.xml,221,430,190,231
Users\EAGLEEYE\ALPD\ALPD\images\N497.xml,161,366,210,250
Users\EAGLEEYE\ALPD\ALPD\images\N41.xml,109,159,182,206
Users\EAGLEEYE\ALPD\ALPD\images\N118.xml,193,394,165,217
Users\EAGLEEYE\ALPD\ALPD\images\N130.xml,91,166,110,140
Users\EAGLEEYE\ALPD\ALPD\images\N508.xml,208,370,89,173
Users\EAGLEEYE\ALPD\ALPD\images\N252.xml,174,314,237,274
Users\EAGLEEYE\ALPD\ALPD\images\N534.xml,15,200,33,126
Users\EAGLEEYE\ALPD\ALPD\images\N520.xml,134,301,312,350
Users\EAGLEEYE\ALPD\ALPD\images\N291.xml,71,215,205,246
Users\EAGLEEYE\ALPD\ALPD\images\N4.xml,156,503,82,253
Users\EAGLEEYE\ALPD\ALPD\images\N285.xml,91,163,111,134
Users\EAGLEEYE\ALPD\ALPD\images\N281.xml,151,243,169,183
Users\EAGLEEYE\ALPD\ALPD\images\N0.xml,226,419,125,173
Users\EAGLEEYE\ALPD\ALPD\images\N295.xml,52,73,170,182
Users\EAGLEEYE\ALPD\ALPD\images\N518.xml,563,675,207,238
Users\EAGLEEYE\ALPD\ALPD\images\N242.xml,224,277,170,199
Users\EAGLEEYE\ALPD\ALPD\images\N524.xml,66,154,166,197
Users\EAGLEEYE\ALPD\ALPD\images\N530.xml,183,249,211,227
Users\EAGLEEYE\ALPD\ALPD\images\N256.xml,286,400,175,212
Users\EAGLEEYE\ALPD\ALPD\images\N108.xml,158,277,216,248
Users\EAGLEEYE\ALPD\ALPD\images\N134.xml,76,133,151,174
Users\EAGLEEYE\ALPD\ALPD\images\N120.xml,159,250,178,200
Users\EAGLEEYE\ALPD\ALPD\images\N79.xml,238,350,363,422
Users\EAGLEEYE\ALPD\ALPD\images\N493.xml,637,840,464,549
Users\EAGLEEYE\ALPD\ALPD\images\N487.xml,297,422,174,218
Users\EAGLEEYE\ALPD\ALPD\images\N51.xml,264,318,141,162
Users\EAGLEEYE\ALPD\ALPD\images\N478.xml,234,422,254,294
Users\EAGLEEYE\ALPD\ALPD\images\N336.xml,122,265,195,234
Users\EAGLEEYE\ALPD\ALPD\images\N86.xml,332,447,176,204
Users\EAGLEEYE\ALPD\ALPD\images\N450.xml,498,796,729,814
Users\EAGLEEYE\ALPD\ALPD\images\N444.xml,1058,1351,660,756
Users\EAGLEEYE\ALPD\ALPD\images\N92.xml,281,393,185,271
Users\EAGLEEYE\ALPD\ALPD\images\N322.xml,274,350,257,297
Users\EAGLEEYE\ALPD\ALPD\images\N445.xml,582,853,622,691
Users\EAGLEEYE\ALPD\ALPD\images\N323.xml,123,279,28,65
Users\EAGLEEYE\ALPD\ALPD\images\N87.xml,3,45,205,220
Users\EAGLEEYE\ALPD\ALPD\images\N451.xml,244,403,221,258
Users\EAGLEEYE\ALPD\ALPD\images\N479.xml,217,428,147,188
Users\EAGLEEYE\ALPD\ALPD\images\N486.xml,289,421,188,232
Users\EAGLEEYE\ALPD\ALPD\images\N50.xml,116,525,55,262
Users\EAGLEEYE\ALPD\ALPD\images\N492.xml,319,479,262,295
Users\EAGLEEYE\ALPD\ALPD\images\N78.xml,149,249,210,239
Users\EAGLEEYE\ALPD\ALPD\images\N135.xml,260,319,184,211
Users\EAGLEEYE\ALPD\ALPD\images\N109.xml,115,278,116,153
Users\EAGLEEYE\ALPD\ALPD\images\N531.xml,80,239,364,402
Users\EAGLEEYE\ALPD\ALPD\images\N257.xml,167,241,132,166
Users\EAGLEEYE\ALPD\ALPD\images\N243.xml,129,465,174,235
Users\EAGLEEYE\ALPD\ALPD\images\N525.xml,360,434,174,195
Users\EAGLEEYE\ALPD\ALPD\images\N519.xml,158,389,129,193
Users\EAGLEEYE\ALPD\ALPD\images\N1.xml,134,262,128,160
Users\EAGLEEYE\ALPD\ALPD\images\N294.xml,142,218,117,135
Users\EAGLEEYE\ALPD\ALPD\images\N280.xml,191,213,185,195
Users\EAGLEEYE\ALPD\ALPD\images\N296.xml,163,234,158,196
Users\EAGLEEYE\ALPD\ALPD\images\N3.xml,142,261,128,157
Users\EAGLEEYE\ALPD\ALPD\images\N282.xml,37,319,145,203
Users\EAGLEEYE\ALPD\ALPD\images\N269.xml,110,147,199,217
Users\EAGLEEYE\ALPD\ALPD\images\N255.xml,116,273,156,188
Users\EAGLEEYE\ALPD\ALPD\images\N533.xml,39,108,129,157
Users\EAGLEEYE\ALPD\ALPD\images\N527.xml,207,356,174,287
Users\EAGLEEYE\ALPD\ALPD\images\N241.xml,126,241,142,199
Users\EAGLEEYE\ALPD\ALPD\images\N123.xml,159,237,221,242
Users\EAGLEEYE\ALPD\ALPD\images\N52.xml,226,327,181,210
Users\EAGLEEYE\ALPD\ALPD\images\N484.xml,1238,2468,1012,1269
Users\EAGLEEYE\ALPD\ALPD\images\N490.xml,163,320,247,280
Users\EAGLEEYE\ALPD\ALPD\images\N46.xml,189,352,193,248
Users\EAGLEEYE\ALPD\ALPD\images\N309.xml,152,252,122,207
Users\EAGLEEYE\ALPD\ALPD\images\N91.xml,269,317,170,189
Users\EAGLEEYE\ALPD\ALPD\images\N321.xml,134,169,235,246
Users\EAGLEEYE\ALPD\ALPD\images\N447.xml,88,216,507,556
Users\EAGLEEYE\ALPD\ALPD\images\N453.xml,107,201,264,288
Users\EAGLEEYE\ALPD\ALPD\images\N335.xml,156,221,163,198
Users\EAGLEEYE\ALPD\ALPD\images\N85.xml,86,146,218,235
Users\EAGLEEYE\ALPD\ALPD\images\N452.xml,493,858,885,967
Users\EAGLEEYE\ALPD\ALPD\images\N84.xml,167,238,201,220
Users\EAGLEEYE\ALPD\ALPD\images\N334.xml,155,211,146,162
Users\EAGLEEYE\ALPD\ALPD\images\N320.xml,99,257,225,266
Users\EAGLEEYE\ALPD\ALPD\images\N446.xml,887,1173,625,696
Users\EAGLEEYE\ALPD\ALPD\images\N308.xml,159,237,221,241
Users\EAGLEEYE\ALPD\ALPD\images\N491.xml,164,336,162,195
Users\EAGLEEYE\ALPD\ALPD\images\N53.xml,146,260,187,213
Users\EAGLEEYE\ALPD\ALPD\images\N485.xml,158,350,252,297
Users\EAGLEEYE\ALPD\ALPD\images\N136.xml,164,245,104,119
Users\EAGLEEYE\ALPD\ALPD\images\N122.xml,195,254,147,169
Users\EAGLEEYE\ALPD\ALPD\images\N526.xml,137,262,249,290
Users\EAGLEEYE\ALPD\ALPD\images\N240.xml,171,232,116,132
Users\EAGLEEYE\ALPD\ALPD\images\N254.xml,166,235,175,207
Users\EAGLEEYE\ALPD\ALPD\images\N532.xml,179,347,256,290
Users\EAGLEEYE\ALPD\ALPD\images\N268.xml,213,271,133,168
Users\EAGLEEYE\ALPD\ALPD\images\N297.xml,158,247,149,170
Users\EAGLEEYE\ALPD\ALPD\images\N2.xml,229,270,176,193
